Cat Island (South), Cat Island, Bahamas:21.988779602668703
Towns County Park, GA, USA:20.64681892530834
Thomaston, GA, USA:19.155265215156305
The Dutch Observatory, GA, USA:21.411968640872878
The Clear Nights Observatory, GA, USA:21.411968640872878
Tellus Observatory, GA, USA:21.411968640872878
T. Spence Memorial Observatory, GA, USA:21.534944332102768
Swan Lake Observatory, GA, USA:21.411968640872878
Stephen C. Foster State Park, GA, USA:21.81656630025579
Skyfall Observatory, GA, USA:21.411968640872878
Rogers' Astrophysics Observatory, GA, USA:21.411968640872878
Robert W. Woodruff Scout Reservation, GA, USA:21.305866862596307
Red Barn Observatory, GA, USA:20.355537158284694
RabbitEye Observatory, GA, USA:21.411968640872878
Puckett Observatory, GA, USA:21.411968640872878
Pleasant Grove Observatory, GA, USA:21.411968640872878
Pastimes Cabins, RV Park & Campground, GA, USA:21.39270948413684
PS-191 Observatory, GA, USA:21.411968640872878
Owens Observatory, GA, USA:21.411968640872878
Oconee Observing Field, GA, USA:21.29203502951122
North Lake Sinclair, GA, USA:17.620838885049647
North Georgia Astronomical Observatory, GA, USA:20.699692159219797
Mountville Observatory, GA, USA:20.65080313880724
Morgan County High School, GA, USA:19.82635332190292
Mookie Mountain Observatory, GA, USA:21.411968640872878
Milledgeville, GA, USA:18.605903713601798
McElroy Mountain, GA, USA:20.834314527081602
Martinez, GA, USA:17.707671603927626
Marietta, GA, USA:17.615516946028258
Macon, GA, USA:17.717646341885853
ME Observatory, GA, USA:21.411968640872878
Luckie's Observatory, GA, USA:21.411968640872878
Louisville, KY, USA:16.821838216453326
Lee Farm Observatory, GA, USA:21.411968640872878
Lake Lanier Observatory, GA, USA:19.562978197440813
Kingsland, GA, USA:19.18271549640283
Joe Kurz Wildlife Management Area, GA, USA:20.972138500561183
Jefferson Observatory, OH, USA:19.802186391763883
J. Stephen Schmidt Observatory, GA, USA:21.411968640872878
Hines Observatory, GA, USA:21.411968640872878
Herron Observing Field, GA, USA:21.411968640872878
Hard Labor Creek Observatory, GA, USA:20.572846482588556
Hampton Mountain, GA, USA:19.049502395110753
Georgia Southern Planetarium, GA, USA:17.91585635709592
Garland Mountain Trailhead, GA, USA:20.605085235281358
Fulton Science Academy Observatory, GA, USA:17.029646204838546
Fort Mountain Scenic Overlook, GA, USA:20.92446343638971
Ford Lake Observatory, GA, USA:21.411968640872878
Fire Panther Observatory, GA, USA:21.411968640872878
Fernbank Observatory, GA, USA:17.533535508548848
Ex Nihilo Observatory, GA, USA:21.411968640872878
Evermore Farms, GA, USA:21.163037257659813
Emory University Observatory, GA, USA:21.411968640872878
Elko Observing site, GA, USA:20.856072790943657
Elachee Nature Science Center, GA, USA:19.0486594074181
Ebo Landing, GA, USA:19.910925049398855
Eastman, GA, USA:19.28064557053802
Dunwoody, GA, USA:17.79151607793992
Dry Creek Observatory, GA, USA:21.411968640872878
Dreamstead Observatory, GA, USA:21.411968640872878
Doogan's Mountain, GA, USA:21.411968640872878
Dogshead, GA, USA:21.411968640872878
Deer Run Observatory, GA, USA:21.411968640872878
Dalton, GA, USA:18.357060370037026
Dallas(GA), GA, USA:18.883138259813055
Dacula, GA, USA:18.79332456918577
D. S. Millas Observatory, GA, USA:21.411968640872878
Culver's Urban Observatory, GA, USA:21.411968640872878
Cox Field, GA, USA:21.411968640872878
Country View Observatory, GA, USA:21.411968640872878
Chattahoochee River National Recreation Area, GA, USA:18.123883114549578
Charlie Elliott WLC, GA, USA:21.411968640872878
Cearley / Sirockman Observatory, GA, USA:21.411968640872878
CCK's Universe, GA, USA:21.411968640872878
Brunswick, GA, USA:18.46707337012631
Brasstown Bald, GA, USA:21.355721954313644
Bradley Observatory, GA, USA:17.59380612811011
Bourne Observatory, GA, USA:21.411968640872878
Bolingbroke, GA, USA:19.918899132678167
Big Lazer Creek WMA, GA, USA:21.380039243792325
Big "A" Observatory, GA, USA:21.411968640872878
Bee Sting Hill Observatory, GA, USA:21.411968640872878
Augusta, ME, USA:18.994125242867707
Atlanta, GA, USA:16.739879475628516
Albany, OR, USA:18.7701959199083
Alapaha River Observatory, GA, USA:20.976078575301262
Aim High Observatory, GA, USA:21.411968640872878
A.H. Stephens Memorial Park, GA, USA:21.411968640872878
Yalta Observatory, FL, USA:20.626365723789117
Withlacoochee River Park, FL, USA:20.626365723789117
Winter Star Party, FL, USA:20.626365723789117
Windy Hill 5 Observatory, FL, USA:17.836312575296073
White City, FL, USA:18.540904292922797
Weston, FL, USA:18.11839488515046
West Palm Beach, FL, USA:17.337833044029683
West Delray Regional Park, FL, USA:18.72237010232063
Wells Observing Site, FL, USA:20.626365723789117
Waid Observatory (Margate), FL, USA:17.21847850154027
Wagner Observatory, FL, USA:20.626365723789117
Vero Beach, FL, USA:18.19386199613328
Useppa Island Observatory, FL, USA:21.0450894899052
UF Campus Teaching Observatory, FL, USA:17.945523944784938
Titusville, FL, USA:19.029097345951616
The Stocker AstroScience Center, FL, USA:16.966705901213626
The D'Auria's Ocala Star Observatory, FL, USA:18.033842193083945
Temple Terrace, FL, USA:17.762036093190044
Tallahassee, FL, USA:17.679775063128684
Suwannee Skies Observatory, FL, USA:21.56488986863325
Sun City Center, FL, USA:18.55714773821101
Summerland Key, FL, USA:20.960976813991337
Starry Nights Ranch, FL, USA:20.626365723789117
Starbrite Observatory, FL, USA:20.626365723789117
Star Dogged Moon Observatory, FL, USA:20.626365723789117
St. Sebastian River Preserve State Park, FL, USA:20.716795385451743
St. Johns County Fairgrounds Overflow Parking, FL, USA:20.1661646766378
South Bratt Observatory, FL, USA:20.626365723789117
Silver Bell Observatory, FL, USA:20.626365723789117
Shired Island, FL, USA:21.896708801795192
Shell Point, FL, USA:21.723717317986292
Seminole State College Star Range, FL, USA:18.24222868675444
Seagrape Drive, FL, USA:19.507763712165772
Scott's Observatory, FL, USA:20.626365723789117
Sarasota, FL, USA:17.88003335225463
Sanford, FL, USA:18.245281530993235
Saint Petersburg, FL, USA:17.495019729160433
Rolling Hills Observatory, FL, USA:20.385800985405186
Robinson Preserve, FL, USA:19.358746452724503
Robinson Observatory, FL, USA:18.14176320015137
Robert Clyde Observatory, FL, USA:20.626365723789117
Riverwoods Field Laboratory, FL, USA:20.626365723789117
Redding Observatory, FL, USA:20.626365723789117
Rainbow Springs Observatory, FL, USA:20.61299221017796
Rainbow Lakes Observatory, FL, USA:17.866327664348916
Port St. Lucie, FL, USA:18.50410564645712
Pompano Beach, FL, USA:17.383224518911923
Pineland Observatory, FL, USA:20.63664303198959
Pine Glades Natural Area, FL, USA:19.96237350754229
Phil's Observatory at Sanctuary, FL, USA:20.626365723789117
Perry, FL, USA:19.568535636138783
Pensacola, FL, USA:17.80163986898447
Parish, FL, USA:19.595111717054486
Panama City, FL, USA:18.132565415900427
Panacea, FL, USA:21.13564469378558
Palm Coast, FL, USA:19.470512844538856
Palm Bay, FL, USA:18.936219274193874
Pace/Milton, FL, USA:18.934101318546396
Orlando, FL, USA:16.841496517424527
Ocala, FL, USA:18.033842193083945
O'Brien, FL, USA:21.427001984078522
North Smoke Tower Site, FL, USA:20.626365723789117
Newberry Star Park, FL, USA:19.757194592420092
Naples, FL, USA:18.356771177203502
NFCC Observatory, FL, USA:20.626365723789117
NEFAS Swamp Site, FL, USA:20.626365723789117
Myakka City, FL, USA:20.752407022628624
Munson Observing Site, FL, USA:21.534163826690666
Mind's Eye Observatory, FL, USA:20.10245358249918
Miami, FL, USA:17.003991918191474
Mancave Observatory, FL, USA:20.626365723789117
Manatee Gun and Archery Club, FL, USA:20.863907885907473
Malhotra Observatory, FL, USA:20.626365723789117
Mahogany Hammock, FL, USA:21.61752103248092
MIAMI-DADE ASTRONOMY INSTITUTE PROJECT, FL, USA:20.338588511924044
Lone Palm Observatory, FL, USA:20.626365723789117
Lemon Bay Park, FL, USA:20.626365723789117
Lazy 8 Ranch Observatory, FL, USA:20.626365723789117
Largo, FL, USA:17.806219659343384
Lakeland, FL, USA:17.562235917588172
Lake Kissimmee State Park, FL, USA:20.925155195218917
Lake Buffum, FL, USA:20.528251776150814
Lake Ahern Observatory, FL, USA:20.626365723789117
LaBelle Astronomical Observatory, FL, USA:19.148612878586903
LAT26 RAO, FL, USA:20.626365723789117
Krause's Observatory, FL, USA:20.626365723789117
Kissimmee Prairie Preserve State Park, FL, USA:21.648052833048443
Kissimmee Park Observatory, FL, USA:19.462511505257858
Kissimmee, FL, USA:17.930328467882656
Key West, FL, USA:18.622559562543593
Kendale Observatory, FL, USA:18.141932547598874
Keaton Beach, FL, USA:21.54239151573001
Jupiter, FL, USA:18.219835495206684
Joyce Observatory 2, FL, USA:20.626365723789117
John's Observatory, FL, USA:20.626365723789117
Joey's Observatory, FL, USA:20.626365723789117
Jigg's Landing Park, FL, USA:20.626365723789117
Jacksonville, NC, USA:18.514849197947974
Ivan's Observatory, FL, USA:20.626365723789117
Innerarity Island Observatory, FL, USA:20.626365723789117
Infinity's Edge Observatory - FL, FL, USA:20.626365723789117
Indian Pass Penninsula, FL, USA:21.896018468593557
Hudson, FL, USA:18.631837436695278
Honeymoon Island State Park, FL, USA:19.38446772302657
Holiday, FL, USA:18.19300982747176
Highlands Hammock State Park, FL, USA:20.29389025125192
High Springs Observatory, FL, USA:20.012036271895933
Heaven Sent Observatory, FL, USA:20.626365723789117
Harold A Campbell Public Use Area, FL, USA:20.87185905324687
Harmony, FL, USA:20.14282667590134
Hardee Lakes Park, FL, USA:20.29452856520857
Halliday Parkwood Observatory, FL, USA:20.626365723789117
Hale Observatory, FL, USA:20.626365723789117
HRH Observatory, FL, USA:20.626365723789117
Guana River Dam, FL, USA:20.59376566189883
GreenWay Lakes Observatory, FL, USA:20.626365723789117
Green Swamp Wildlife Management Area, FL, USA:20.58527229742417
GradyLand Heaven Observatory, FL, USA:20.626365723789117
Geddy's Blue Room Observatory, FL, USA:20.626365723789117
Galactic Stone Observatory, FL, USA:20.626365723789117
Gainesville (FL), FL, USA:18.233136201218816
Foxtrotter Observatory, FL, USA:20.626365723789117
Fox Observatory, FL, USA:18.092388007792177
Fort Walton Beach, FL, USA:18.23874073450415
Fort Pickens, FL, USA:19.92352619846845
Fort Myers Beach, FL, USA:19.17630701394298
Fort Lauderdale, FL, USA:17.00253306250026
Fort Clinch State Park, FL, USA:20.02888420916417
Flying Cow Observatory, FL, USA:20.626365723789117
Florida Caverns State Park, FL, USA:20.5260852284606
Flamingo, FL, USA:21.821939766550678
Fisheating Creek Campgrounds, FL, USA:21.358709776327967
Finch Observatory, FL, USA:20.626365723789117
Fall River Pkwy Observatory, FL, USA:19.97132163190507
Fakahatchee Strand Preserve, FL, USA:21.560680159622702
Everglades Observatory, FL, USA:19.485717611400197
Emerald Beach, FL, USA:19.093703617936047
Ellen Observatory, FL, USA:20.626365723789117
Eastern Florida State College, FL, USA:18.78401033712331
Duette Park, FL, USA:20.67150580186107
Dry Tortugas National Park, FL, USA:21.99999999864131
Deltona, FL, USA:18.92340935737642
Deer Creek RV Golf Resort, FL, USA:20.626365723789117
DeepSkyshed Observatory, FL, USA:20.626365723789117
Deep Sky Observatory, FL, USA:20.626365723789117
Daytona Beach, FL, USA:17.827329116015502
Darkstar Observatory, FL, USA:20.626365723789117
D'Auria Observatory, FL, USA:19.330466728885483
Crawfordville, FL, USA:20.2451562177652
Crane Point Nature Center, FL, USA:19.46285394069781
Coral Lakes Observatory, FL, USA:20.626365723789117
Coral Key Village Observatory, FL, USA:18.904201445514488
Cooke Observatory, FL, USA:20.626365723789117
Conner Preserve, FL, USA:19.816323877685953
Compass Lake, FL, USA:21.34543082465827
Coleman Landing, FL, USA:21.286617630387667
Chiefland Astronomy Village, FL, USA:21.597048816147222
Central Florida Youth & Family Camp, FL, USA:18.873565976735474
Cedar Key, FL, USA:21.1074352631654
Caxambas Observatory, FL, USA:20.348902832801265
Carrollwood, FL, USA:17.78954077602692
Cargeena 2 Astronomy, FL, USA:19.513163781966316
CFAS Ocala Forest Site, FL, USA:21.124123697914836
Brooksville, FL, USA:19.14602856686286
Broken Oak Observatory, FL, USA:20.626365723789117
Brogdon Observatory, FL, USA:20.626365723789117
Brandon, FL, USA:17.834051663111527
Boca Raton, FL, USA:17.45107484676867
Boca Observatory, FL, USA:17.45107484676867
Bluefield Ranch, FL, USA:21.119827867715752
Blue Mountain Beach, FL, USA:20.244099766676506
Black Creek Observatory, FL, USA:19.756942596302704
Biscayne Point Observatory, FL, USA:17.585617497437262
Biolab Boat Ramp, FL, USA:21.161463752821003
Bill Sadowski Park, FL, USA:18.015390869998942
Bhills Observatory, FL, USA:20.626365723789117
Bethune Beach, FL, USA:20.45678880948389
Belleview, FL, USA:19.17712400921762
Belen Observatory, FL, USA:20.626365723789117
Beauclerc / San Jose(FL), FL, USA:18.07389771047579
Avon Park Bombing Range, FL, USA:21.419126935212176
Aubright Observatory, FL, USA:20.626365723789117
Area 63, FL, USA:20.626365723789117
Ambersweet Observatory, FL, USA:17.665290474194403
Alafia River State Park, FL, USA:19.975817407168837
AST@RHO, FL, USA:20.626365723789117
Wilmington, NC, USA:18.06283012671556
Trap Pond State Park, DE, USA:20.644310671576157
Starlight Observatory, VA, USA:21.648174640504035
Rehoboth Beach, DE, USA:19.301185631225465
Mount Cuba Astronomical Observatory, DE, USA:18.728267776410608
Milton, DE, USA:19.68542855955209
Killen's Pond State Park, DE, USA:20.16854509014322
Dover, DE, USA:17.972588164850475
Blackbird State Forest, DE, USA:20.13157167320433
Washington, DC, USA:16.09425509362433
USNO, DC, USA:16.8848787446965
Smithsonian NASM Public Observatory, DC, USA:16.311899078585462
Young's Pond, CT, USA:19.629543744723
Van Vleck Observatory, CT, USA:18.58522312201707
University of Connecticut Observatory, CT, USA:18.965912994142606
UConn at Avery Point, CT, USA:19.505104407925398
The Westport Observatory, CT, USA:19.51416344347481
The Hotchkiss School, CT, USA:21.114977262465565
Stamford Observatory, CT, USA:19.301328692422853
Stamford, NY, USA:21.10499471547404
Southwind Observatory, CT, USA:17.445924824710268
Southington Observatory, CT, USA:18.901902510992457
Sirius Astronomical Observatory, CT, USA:19.20160394184873
Silver Sands State Park, CT, USA:19.017761938709295
Sights Above Private Observatory, CT, USA:19.20160394184873
Roxbury Airport, CT, USA:20.540440624048312
Prospect, CT, USA:19.40453324039142
PropBusters Flying Field, CT, USA:20.469760491595046
Perras Observatory, CT, USA:17.445924824710268
Olin Observatory, MN, USA:21.85047774997729
New Haven, MI, USA:19.205890436391027
Monroe, WI, USA:19.310281472452544
Mattatuck Astronomical Society Observatory, CT, USA:17.445924824710268
Leslie C. Peltier Observatory, CT, USA:17.445924824710268
John J. McCarthy Observatory, CT, USA:20.04719821248057
Hidden Lake Observatory, CT, USA:20.5440920765417
Hartford, CT, USA:17.4502058980967
Greenwich Observatory, CT, USA:18.440335346148668
Goodwin Conservation Center, CT, USA:20.693526455616777
Gebbie Observatory, CT, USA:17.445924824710268
East Hartford, CT, USA:18.24870269963838
Durham, NC, USA:17.594458878260976
Danbury, CT, USA:18.558291063381603
Connecticut Star Party, CT, USA:19.20160394184873
Colebrook, NH, USA:21.149091771866363
Chester, VT, USA:21.246158019667565
Changstars Observatory, TX, USA:21.78072242628056
Canton, GA, USA:18.782403359478938
Bridgeport, CT, USA:17.742684910599138
Bowman Observatory, CT, USA:18.61709722048975
BlueBirdsKnoll Observatory, CT, USA:17.445924824710268
39 Bradley Park Rd, CT, USA:18.743628723008403
Wray, CO, USA:20.838696964108937
Wilkerson Pass, CO, USA:21.72166231775251
Whispering Pines Observatory, CO, USA:20.880237617312986
Westminster, CO, USA:18.02133531183358
Warm Springs Ranch, CO, USA:21.55483275387447
Wardrop Ranch, CO, USA:21.55483275387447
Upper Beaver Meadows, CO, USA:21.55483275387447
University of Colorado Alpine Observatory, CO, USA:21.55483275387447
Tollgate Creek Park, CO, USA:17.904563769640074
Stone Bridge, CO, USA:17.401266723460786
Steamboat Springs, CO, USA:20.85610825342803
Steamboat Lake State Park, CO, USA:21.55483275387447
Stargate Colorado Observatory, CO, USA:21.55483275387447
Spring Gulch, CO, USA:21.55483275387447
South Park Observatory, CO, USA:21.55483275387447
Sommers-Bausch Observatory, CO, USA:19.033340237291437
Slater Creek Observatory, CO, USA:21.55483275387447
Silverton, OR, USA:19.883746283155073
Seclusion Ranch, CO, USA:21.55483275387447
San Isabel Observatory, CO, USA:21.860936281391112
Roxborough Park, CO, USA:19.90356980305952
Rocky Mountain Star Stare, CO, USA:21.55483275387447
Red Feather Lakes, CO, USA:21.76807610311065
Pueblo West, CO, USA:20.399979311555924
Poudre Canyon Observatory, CO, USA:21.78294752433227
Pinon Wood Ranch Observatory, CO, USA:21.97577752492777
Pinon Ridge Observatory, CO, USA:21.55483275387447
Picketwire Observatory, CO, USA:21.55483275387447
Peyton, CO, USA:20.976264034065547
Pawnee Buttes Trailhead, CO, USA:21.354960327575682
Paul Plishner Radio Astronomy and Science Center, CO, USA:21.55483275387447
Parker, CO, USA:18.985928441399913
Paint Mines Interpretive Park, CO, USA:21.55483275387447
Pagosa Springs, CO, USA:21.407595445524567
Old Fort Lewis Observatory, CO, USA:21.55483275387447
North Sterling State Park, CO, USA:21.55483275387447
North Raymer, CO, USA:21.60895069079466
Nederland Observatory, CO, USA:20.930442643496775
Navajo Peak, CO, USA:21.40287086209428
NREL- Solar Radiation Research Laboratory, CO, USA:18.481941220302865
Mount Massive Lakes Observatory, CO, USA:21.8392743852305
Missouri Gulch Observatory, CO, USA:21.55483275387447
Mesa Verde National Park, CO, USA:21.869311573899072
Meeker, CO, USA:21.37217594323355
Loveland Pass, CO, USA:21.42539447559456
Lookout Mountain Observatory, CO, USA:21.55483275387447
Longmont, CO, USA:18.87966029780659
Log Hill Mesa, CO, USA:21.95234919951223
Lemon Lake Reservoir, CO, USA:21.55483275387447
Leadville, CO, USA:21.34669580191622
Las Brisas Observatory, CO, USA:21.55483275387447
Las Animas, CO, USA:20.606905736512292
Lake Granby (North Shore), CO, USA:21.55483275387447
Lake Dillon Observatory, CO, USA:20.914824598958923
Lake City, FL, USA:18.781128644767982
Kings Valley Observatory, CO, USA:21.55483275387447
Kenosha Pass, CO, USA:21.637988260348024
Karval Reservoir SWA, CO, USA:21.951818516641403
Jackson Lake State Park, CO, USA:21.537104102686072
Indian Tree Observatory, CO, USA:21.55483275387447
Independence Mountain, CO, USA:21.55483275387447
Hugo, CO, USA:21.46045472066714
Gunnison Valley Observatory, CO, USA:21.46110068941779
Grouse Gulch, CO, USA:21.975884851868635
Greeley, CO, USA:18.795060225754455
Great Sand Dunes National Park and Preserve, CO, USA:21.9601432625052
Grand Mesa Observatory, CO, USA:21.55483275387447
Golden, CO, USA:18.880071706568156
Glacier Basin Campground, CO, USA:21.55483275387447
Gateway, CO, USA:21.80486692343065
Gates of Lodore, CO, USA:21.98021806922834
Gardner, KS, USA:18.74186166104619
Fort Collins, CO, USA:18.92643091465371
Flagler Reservoir SWA, CO, USA:21.938200662422062
Evergreen, CO, USA:20.08072829059259
Estes park, CO, USA:20.75200167411373
Elkhorn Ranch, CO, USA:21.55483275387447
Elk Creek Visitor's Center, CO, USA:21.55483275387447
Echo Park, CO, USA:21.960796618964483
Eagle Observatory, WI, USA:20.800512419996764
Durango, CO, USA:20.305877297575112
Divide, CO, USA:21.07650524133696
Denver, CO, USA:17.433672860462764
Deerlodge Park Campground, CO, USA:21.9801695611186
Cripple Creek KOA, CO, USA:20.894155596537516
County Road 2C, CO, USA:21.959188276901962
Copper Mountain, CO, USA:21.372802219857014
Colorado State Forest, CO, USA:21.55483275387447
Colorado Springs, CO, USA:18.34157354485999
Colorado Skies Observatory, CO, USA:21.55483275387447
Chimney Rock, CO, USA:21.945502684044772
Centennial, CO, USA:18.089192413501852
Castle Rock, CO, USA:19.664629708137607
Canyon Visitor Center, CO, USA:21.55483275387447
CSU-Pueblo Observatory, CO, USA:18.76849366963116
Broomfield, CO, USA:18.43853866986657
Brighton, CO, USA:18.933061023458965
Breckenridge, CO, USA:21.150677912770412
Boulder Heights Observatory, CO, USA:21.55483275387447
Boulder, CO, USA:18.943489899080664
Blackhawk Ranch, CO, USA:21.55483275387447
Black Canyon of the Gunnison, CO, USA:21.87920524382307
Berthoud Pass Trailhead, CO, USA:21.437213984408494
Berthoud, CO, USA:19.891389305041425
Bear Dance Observatory, CO, USA:21.55483275387447
Bar-J Ranch, CO, USA:21.55483275387447
Bald Mountain Observatory, CO, USA:21.55483275387447
Aspen Science Center, CO, USA:21.373106791891985
Arvada, CO, USA:18.083078769633342
Arriola Observatory, CO, USA:21.757062894432686
Antelope Hills Observatory, CO, USA:21.55483275387447
Yucca Valley, CA, USA:20.230005072253537
Yuba City Astronomical Observatory, CA, USA:18.629666926554034
Yamada Observatory, CA, USA:20.93623856604902
Woodland Hills, CA, USA:17.884125556772013
Wilton, NH, USA:20.319071743427433
Wilson Hill Observatory, NH, USA:19.6547833096138
Whitewater Preserve, CA, USA:20.88040410264238
Whiskeytown National Recreation Area, CA, USA:21.23731195707319
Webb Schools Observatory, CA, USA:20.93623856604902
WeBeWebbiers Observatory, CA, USA:20.93623856604902
Waltz Road, CA, USA:18.61692736453914
Walker Pass Campground, CA, USA:21.877242339775556
WYA Eastern Lassen Site, CA, USA:20.93623856604902
Vista Trail, CA, USA:18.811914539697955
Vista Hill, CA, USA:20.93623856604902
Vista, CA, USA:18.220079995347522
Visalia, CA, USA:18.341461473830247
Vasquez Rocks, CA, USA:19.96052875491559
Vandenberg Village, CA, USA:20.027910704046324
Vallejo Observatory, CA, USA:18.26429199372343
Vacaville, CA, USA:18.39570140568938
University of Califoria San Diego, CA, USA:17.975968173399952
Two Goats Observatory, CA, USA:20.93623856604902
Twentynine Palms Airport, CA, USA:21.579380923430804
Turlock, CA, USA:18.320651561327423
Tulelake, CA, USA:21.58932422032341
Tularcitos Observatory, CA, USA:20.93623856604902
Tujunga Observatory, CA, USA:18.31330614170897
Trona Pinnacles, CA, USA:21.81341191203728
Trilobite Wilderness, CA, USA:21.953344857409657
Trapshoot, CA, USA:20.93623856604902
Torrance, CA, USA:17.18253516298124
Topanga, CA, USA:18.955668248389355
Tisdale Boat Launch, CA, USA:21.390866001093734
Thousand Palms, CA, USA:18.43392108279303
Thomas Observatory, CA, USA:20.93623856604902
The Sky's The Limit Observatory and Nature Center, CA, USA:21.457993784799967
The Bishop's Ranch, CA, USA:20.543441625997183
Teutonia Peak, CA, USA:20.93623856604902
Temecula, CA, USA:18.64821255094654
Telescope Row, CA, USA:20.93623856604902
Telegraph City, CA, USA:21.308323052128
Tehachapi Municipal Airport, CA, USA:20.30961417243506
Tehachapi Mountain Observatory, CA, USA:20.190981094364684
Taylor Observatory, CA, USA:21.294971400262725
Tassi Observatory, CA, USA:20.93623856604902
Table Mountain Observatory, CA, USA:20.93623856604902
Summit View Observatory, CA, USA:20.93623856604902
Stony Ridge Observatory, SC, USA:19.734622844859267
Stockton, CA, USA:17.58689861619729
Starry Kingdom Observatory, CA, USA:20.93623856604902
Star Camp Observatory, CA, USA:20.93623856604902
Stanford Faculty Observatory, CA, USA:18.05620004088505
Springville, CA, USA:21.2828751466296
South Lake Tahoe, CA, USA:20.779984284794775
South Fork Observatory, CA, USA:21.79085349445592
Sorrento Mesa Observatory, CA, USA:17.920437029332682
Sonrisa Observatory, CA, USA:20.93623856604902
Sonoma State University Observatory, CA, USA:19.119165616252698
Sonoma, CA, USA:19.605428753386587
SkyStar Observatory, CA, USA:20.93623856604902
SkyScapes Observatory, CA, USA:20.93623856604902
SkiesAway Remote Observatories, CA, USA:20.93623856604902
Simi Valley, CA, USA:18.502139930533428
Silverwood Lake, CA, USA:19.800872246939754
Sierra Stars Observatory, CA, USA:20.93623856604902
Sierra Skies Observatory, CA, USA:20.93623856604902
Sierra Remote Observatories, CA, USA:21.608658944769285
Shot Rock, CA, USA:20.93623856604902
Shelter Cove, CA, USA:21.995314670257027
Shaver Lake, CA, USA:21.670870592418236
Shasta Dam, CA, USA:21.628551354644046
Selkovitch's Observatory, CA, USA:20.93623856604902
Sea Ranch, CA, USA:21.93647161279518
Scripps Ranch Observatory, CA, USA:18.969876037771446
Schreder Planetarium, CA, USA:18.74421956448722
Sawmill Trailhead, CA, USA:20.93623856604902
Saratoga, CA, USA:18.782318477680764
Santa Teresa Spring, CA, USA:18.897343934936423
Santa Rosa Mountain, CA, USA:21.115064653624806
Santa Rosa, CA, USA:18.49495433171784
Santa Paula, CA, USA:18.989588766432774
Santa Monica Mountains Observatory, CA, USA:19.798535972072994
Santa Monica Canyon Observatory, CA, USA:17.997825044040365
Santa Maria, CA, USA:18.515530686630406
Santa Margarita Lake, CA, USA:21.6046623687182
Santa Cruz, CA, USA:18.540702067283846
Santa Clarita, CA, USA:18.1376387172421
Santa Barbara, CA, USA:18.415726538293594
Sandstone Trailhead, CA, USA:19.85837985080402
San Ramon, CA, USA:18.65046170816206
San Rafael, CA, USA:18.485343596217582
San Pasqual Battlefield State Historic Park, CA, USA:19.895958347752796
San Onofre State Beach, CA, USA:19.158363924445602
San Mateo, CA, USA:18.105647229787845
San Francisco State University Observatory, CA, USA:18.030591924515825
San Francisco, CA, USA:17.252262248104703
San Diego, CA, USA:17.080699764348854
San Clemente Island (North), CA, USA:21.816420167688786
San Clemente, CA, USA:18.76663598574843
San Bernardino County Museum, CA, USA:17.675857701104942
Salton Sea State Recreation Area, CA, USA:21.36515308382526
Saint Mary's College Observatory, CA, USA:19.088584544056804
Saddleback Observatory, CA, USA:18.06541439237571
Saddleback Butte, CA, USA:20.93623856604902
Sacramento, CA, USA:17.326317948776257
SPARQ Observatory, CA, USA:20.93623856604902
Rustic Valley Observator, CA, USA:20.93623856604902
Rubicon Observatory, CA, USA:20.93623856604902
Royer Oaks Observatory, CA, USA:20.93623856604902
Ross Creek Observatory, CA, USA:18.367641472436393
Rose Valley Campground, CA, USA:21.201073339331614
Rosamond Skypark, CA, USA:20.233286729713058
Rolling Roof Observatory, CA, USA:20.93623856604902
Rock Springs Observatory, CA, USA:20.93623856604902
Rock Mountain Observatory, CA, USA:20.93623856604902
Rock Hill Observatory, CA, USA:20.211156255116247
Robert Brownlee Observatory, CA, USA:20.93623856604902
Rio Vista, CA, USA:19.718656980165328
Ridgecrest, CA, USA:19.55533125993481
Reuben H. Fleet Science Center, CA, USA:17.577442490940136
Redwood Mountain View, CA, USA:18.011129369194418
Redrock Inyokern Road, CA, USA:21.81028717768455
Redondo Beach, CA, USA:17.4735731679774
Redman Observatory, CA, USA:20.55951603423166
Red Rock Canyon State Park, CA, USA:21.797082613776094
Rancho del Rio Observatory, CA, USA:17.729411251060363
Rancho Mirage Library and Observatory, CA, USA:18.46043186088985
Rancho Del Sol Observatory, CA, USA:17.47224026031658
Rancho Cordova, CA, USA:17.94006753070782
Rancho Cañada del Oro, CA, USA:20.201159225905137
Ranchita Canyon Observatory, CA, USA:21.777124415143803
Ramona Observatory, CA, USA:19.590039720317368
Quincy, FL, USA:19.38526926171217
Putah Creek Observatory, CA, USA:21.505071666576107
Powerpoint Lookout, CA, USA:21.933130789218175
Portola, CA, USA:21.463415179467784
Porterville, CA, USA:18.65557371824888
Point Richmond, CA, USA:18.156432387948833
Poinsettia Observatory, CA, USA:20.93623856604902
Plettstone, CA, USA:20.93623856604902
Pioneertown Mountains Preserve, CA, USA:21.33474580504233
Pinon Hills, CA, USA:20.394356137059283
Pinnacles Campground, CA, USA:21.721338442714682
Pinhead Observatory, CA, USA:20.93623856604902
Pine Valley Creek trailhead, CA, USA:21.239686435941525
Pine Flat Observatory, CA, USA:21.7976498979272
Phelan, CA, USA:20.11244501662539
Pfeiffer Big Sur State Park, CA, USA:21.82422543550641
Pescadero, CA, USA:20.98953612529311
Penryn, CA, USA:19.691126922919203
Penn Valley, CA, USA:21.023247832675647
